ville,departement,code_region,nom_region,prix_m2,prix_estime,loyer_m2,loyer_annuel,rendement_brut,categorie_rendement,score_investissement,nombre_transactions
Abbaretz,44,52,Pays de la Loire,1749.3541282510425,87467.70641255213,8.8142890377613,5288.57342265678,6.046315422645905,Bon,0.10368939012978777,30
Abbeville,80,32,Hauts-de-France,2105.6981071146292,105284.90535573146,8.83211569792203,5299.269418753218,5.033266070618867,Bon,0.8007530272075848,335
Ablis,78,11,Île-de-France,2602.4163979053696,130120.81989526848,10.5936036855499,6356.16221132994,4.884815678571563,Moyen,0.060064984927125406,32
Ablon-Sur-Seine,94,11,Île-de-France,3279.097671700542,163954.8835850271,16.2263434353526,9735.80606121156,5.938100682534757,Bon,0.11046457833833616,61
Abondance,74,84,Auvergne-Rhône-Alpes,4399.576641711026,219978.83208555132,14.455575894016,8673.3455364096,3.9428091576722597,Moyen,0.03853570640696273,43
Abondant,28,24,Centre-Val de Loire,2825.5592435961535,141277.96217980768,11.9502713583335,7170.1628150001,5.075216760186893,Bon,0.07903197852047589,44
Abrest,03,84,Auvergne-Rhône-Alpes,2202.208730127069,110110.43650635345,8.87061518021125,5322.36910812675,4.833664525360088,Moyen,0.0965763309382449,44
Abscon,59,32,Hauts-de-France,1873.0695580719812,93653.47790359907,8.37131448522919,5022.7886911375135,5.363163017082668,Bon,0.1889779039982952,66
Abzac,33,75,Nouvelle-Aquitaine,1673.8206276904073,83691.03138452036,9.49182035284122,5695.092211704732,6.804901454181513,Bon,0.13009568823051038,32
Achicourt,62,32,Hauts-de-France,2106.960527674848,105348.0263837424,10.8238127893674,6494.28767362044,6.164603074730839,Bon,0.301360233548364,103
Afa,2A,94,Corse,4905.241193437193,245262.05967185966,14.6335692375759,8780.14154254554,3.5799020665049626,Moyen,0.02846265353485338,39
Agde,34,76,Occitanie,4382.454662151823,219122.73310759114,13.6575898258528,8194.553895511679,3.7397096044288944,Moyen,1.769820412877286,2074
Agen,47,75,Nouvelle-Aquitaine,3168.4992437271394,158424.96218635698,9.58725630639944,5752.353783839663,3.6309642776326547,Moyen,0.9236414411541344,806
Agneaux,50,28,Normandie,2085.409496130379,104270.47480651895,9.12735126621589,5476.410759729533,5.252120286103415,Bon,0.22666571079992573,90
Agnetz,60,32,Hauts-de-France,3013.5412301728666,150677.06150864332,11.2432854873848,6745.971292430879,4.477105688740756,Moyen,0.0534838558639603,36
Agon-Coutainville,50,28,Normandie,3966.4469702353895,198322.34851176947,7.19477346717528,4316.864080305168,2.1766906819626444,Faible,0.05432881849458165,99
Ahetze,64,75,Nouvelle-Aquitaine,5857.667589983737,292883.3794991869,16.3472854979168,9808.37129875008,3.3488999326359217,Moyen,0.01943821426540482,34
Ahun,23,75,Nouvelle-Aquitaine,1253.5184359449077,62675.921797245384,6.6412705638194,3984.76233829164,6.357724344577203,Bon,0.23837945707586022,47
Aiffres,79,75,Nouvelle-Aquitaine,2184.3392194210496,109216.96097105248,9.72654458002275,5835.9267480136505,5.343425321604068,Bon,0.1614520620654063,66
Aigre,16,75,Nouvelle-Aquitaine,1281.2850275470112,64064.251377350556,7.05545442020364,4233.272652122184,6.607854710090042,Bon,0.15987347983372535,31
Aiguefonde,81,76,Occitanie,1617.707320087279,80885.36600436395,7.9462002980872,4767.72017885232,5.8944162762335655,Bon,0.11659792750971637,32
Aigues-Mortes,30,76,Occitanie,4219.555764965281,210977.78824826406,13.5984878337049,8159.092700222939,3.8672756824153844,Moyen,0.12647872759603504,138
Aigues-Vives,30,76,Occitanie,3036.388254411297,151819.41272056487,10.6336021945507,6380.16131673042,4.202467393595831,Moyen,0.06643367645739677,48
Aiguillon,47,75,Nouvelle-Aquitaine,1541.4877386516432,77074.38693258216,7.81322467819498,4687.934806916988,6.082351081193261,Bon,0.3196071076164372,81
Aigurande,36,24,Centre-Val de Loire,1144.2972819445395,57214.86409722697,6.30236491971107,3781.4189518266417,6.60915482627165,Bon,0.19059916746139333,33
Aillon-Le-Jeune,73,84,Auvergne-Rhône-Alpes,2577.3496112334105,128867.48056167053,13.0301242608334,7818.07455650004,6.066755183250937,Bon,0.08473944925636813,36
Ailly-Sur-Noye,80,32,Hauts-de-France,1759.7394734721183,87986.97367360591,9.38768018895231,5632.608113371386,6.401638649677799,Bon,0.1527889936775505,42
Ailly-Sur-Somme,80,32,Hauts-de-France,1871.6559388661533,93582.79694330767,9.03842455711326,5423.0547342679565,5.79492696457153,Bon,0.1671920835388329,54
Aimargues,30,76,Occitanie,3235.3607078980376,161768.03539490188,12.1979599822774,7318.775989366441,4.524241128044936,Moyen,0.12445519889422144,89
Aire-Sur-L'Adour,40,75,Nouvelle-Aquitaine,2021.0306318658882,101051.5315932944,8.10512040809491,4863.072244856947,4.8124676273384175,Moyen,0.34527324572009543,145
Aire-Sur-La-Lys,62,32,Hauts-de-France,2060.311457979572,103015.5728989786,7.93302971910494,4759.817831462964,4.620483774944048,Moyen,0.35209043266574314,157
Airvault,79,75,Nouvelle-Aquitaine,1317.5481725861641,65877.40862930821,7.01114768020213,4206.688608121279,6.385631577878679,Bon,0.23748349686667167,49
Aixe-Sur-Vienne,87,75,Nouvelle-Aquitaine,2331.2751313138897,116563.75656569448,9.71925756920643,5831.5545415238585,5.00288830193735,Bon,0.21030681750272023,98
Aizenay,85,52,Pays de la Loire,2673.7416140656355,133687.08070328177,9.49409826192334,5696.458957154004,4.261039232203211,Moyen,0.22311261842589003,140
Ajaccio,2A,94,Corse,4161.214819619141,208060.74098095705,16.0111863366169,9606.711801970137,4.617263091862871,Moyen,0.928731001742164,837
